,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
1055,SHAW AFB/SUMTER,747900,3A,17900.94,14645.97,USA,USA_SC_Shaw.AFB.747900_TMY3,32546.91
1056,ABERDEEN REGIONAL ARPT,726590,6A,79569.95,7235.85,USA,USA_SD_Aberdeen.Rgnl.AP.726590_TMY3,86805.8
1057,BROOKINGS (AWOS),726515,6A,74370.93,5800.55,USA,USA_SD_Brookings.AWOS.726515_TMY3,80171.48
1058,CHAN GURNEY MUNI,726525,5A,65968.88,9175.57,USA,USA_SD_Yankton-Chan.Gurney.Muni.AP.726525_TMY3,75144.45
1059,ELLSWORTH AFB,726625,6A,69477.49,7106.46,USA,USA_SD_Ellsworth.AFB.726625_TMY3,76583.95
1060,HURON REGIONAL ARPT,726540,6A,81539.48,7121.98,USA,USA_SD_Huron.Rgnl.AP.726540_TMY3,88661.46
1061,HURON REGIONAL ARPT,726540,6A,87598.39,7860.45,USA,USA_SD_Huron.Rgnl.AP.726540_TMY,95458.84
1062,HURON REGIONAL ARPT,726540,6A,84036.75,6730.11,USA,USA_SD_Huron.726540_TMY2,90766.86
1063,MITCHELL (AWOS),726545,6A,76819.86,8851.67,USA,USA_SD_Mitchell.AWOS.726545_TMY3,85671.53
1064,MOBRIDGE,726685,6A,86888.04,7211.27,USA,USA_SD_Mobridge.Muni.AP.726685_TMY3,94099.31
1065,PIERRE MUNICIPAL AP,726686,6A,67011.54,7835.14,USA,USA_SD_Pierre.726686_TMY2,74846.68
1066,PIERRE MUNICIPAL AP,726686,6A,69334.71,8955.71,USA,USA_SD_Pierre.Muni.AP.726686_TMY,78290.42
1067,PIERRE MUNICIPAL AP,726686,6A,66793.89,8228.84,USA,USA_SD_Pierre.Muni.AP.726686_TMY3,75022.73
1068,RAPID CITY REGIONAL ARPT,726620,6A,60884.08,6762.06,USA,USA_SD_Rapid.City.Rgnl.AP.726620_TMY3,67646.14
1069,RAPID CITY REGIONAL ARPT,726620,6A,63674.25,5549.21,USA,USA_SD_Rapid.City.726620_TMY2,69223.46
1070,RAPID CITY REGIONAL ARPT,726620,6A,61906.05,6461.35,USA,USA_SD_Rapid.City.Rgnl.AP.726620_TMY,68367.4
1071,SIOUX FALLS FOSS FIELD,726510,6A,72963.96,7510.97,USA,USA_SD_Sioux.Falls-Foss.Field.726510_TMY,80474.93
1072,SIOUX FALLS FOSS FIELD,726510,6A,74820.9,7704.33,USA,USA_SD_Sioux.Falls.726510_TMY2,82525.23
1073,SIOUX FALLS FOSS FIELD,726510,6A,73984.37,7515.97,USA,USA_SD_Sioux.Falls-Foss.Field.726510_TMY3,81500.34
1074,WATERTOWN MUNICIPAL AP,726546,6A,94186.89,5389.96,USA,USA_SD_Watertown.Muni.AP.726546_TMY3,99576.85
1075,BRISTOL TRI CITY AIRPORT,723183,4A,26645.16,8941.34,USA,USA_TN_Bristol.723183_TMY2,35586.5
1076,BRISTOL TRI CITY AIRPORT,723183,4A,28106.08,9648.48,USA,USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3,37754.56
1077,CHATTANOOGA LOVELL FIELD AP,723240,3A,21890.62,12798.32,USA,USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY,34688.94
1078,CHATTANOOGA LOVELL FIELD AP,723240,3A,21718.82,13364.86,USA,USA_TN_Chattanooga.723240_TMY2,35083.68
1079,CHATTANOOGA LOVELL FIELD AP,723240,3A,17816.54,14653.91,USA,USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3,32470.45
1080,CROSSVILLE MEMORIAL AP,723265,4A,23214.76,9196.35,USA,USA_TN_Crossville.Mem.AP.723265_TMY3,32411.11
1081,DYERSBURG MUNICIPAL AP,723347,3A,23056.39,15372.89,USA,USA_TN_Dyersburg.Muni.AP.723347_TMY3,38429.28
1082,JACKSON MCKELLAR-SIPES REGL A,723346,3A,20934.11,13174.45,USA,USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3,34108.56
1083,KNOXVILLE MCGHEE TYSON AP,723260,4A,24415.54,13252.81,USA,USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3,37668.35
1084,KNOXVILLE MCGHEE TYSON AP,723260,4A,23507.31,12239.95,USA,USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY,35747.26
1085,KNOXVILLE MCGHEE TYSON AP,723260,4A,21844.04,12077.42,USA,USA_TN_Knoxville.723260_TMY2,33921.46
1086,MEMPHIS INTERNATIONAL AP,723340,3A,18446.59,16000.89,USA,USA_TN_Memphis.Intl.AP.723340_TMY,34447.48
1087,MEMPHIS INTERNATIONAL AP,723340,3A,17307.77,17674.47,USA,USA_TN_Memphis.Intl.AP.723340_TMY3,34982.24
1088,MEMPHIS INTERNATIONAL AP,723340,3A,16985.99,16518.06,USA,USA_TN_Memphis.723340_TMY2,33504.05
1089,NASHVILLE INTERNATIONAL AP,723270,3A,23141.46,14823.62,USA,USA_TN_Nashville.Intl.AP.723270_TMY3,37965.08
1090,NASHVILLE INTERNATIONAL AP,723270,3A,21838.23,12501.19,USA,USA_TN_Nashville.Intl.AP.723270_TMY,34339.42
1091,NASHVILLE INTERNATIONAL AP,723270,3A,27882.54,14238.49,USA,USA_TN_Nashville.723270_TMY2,42121.03
1092,ABILENE DYESS AFB,690190,3B,16428.76,23512.2,USA,USA_TX_Abilene-Dyess.AFB.690190_TMY3,39940.96
1093,ABILENE REGIONAL AP,722660,3B,19771.43,17324.43,USA,USA_TX_Abilene.Rgnl.AP.722660_TMY3,37095.86
1094,ABILENE REGIONAL AP,722660,3B,16029.37,17823.04,USA,USA_TX_Abilene.Rgnl.AP.722660_TMY,33852.41
1095,ABILENE REGIONAL AP,722660,3B,15505.41,17378.58,USA,USA_TX_Abilene.722660_TMY2,32883.99
1096,ALICE INTL AP,722517,2A,4207.62,29355.61,USA,USA_TX_Alice.Intl.AP.722517_TMY3,33563.23
1097,AMARILLO INTERNATIONAL AP,723630,4B,27439.68,11664.01,USA,USA_TX_Amarillo.Intl.AP.723630_TMY,39103.69
1098,AMARILLO INTERNATIONAL AP,723630,4B,26515.38,11589.83,USA,USA_TX_Amarillo.Intl.AP.723630_TMY3,38105.21
1099,AMARILLO INTERNATIONAL AP,723630,4B,32855.27,10580.33,USA,USA_TX_Amarillo.723630_TMY2,43435.6
1100,AUSTIN/BERGSTROM,722540,2A,8488.07,21672.65,USA,USA_TX_Austin-Mueller.Muni.AP.722540_TMY,30160.72
1101,AUSTIN/BERGSTROM,722540,2A,8568.03,22539.24,USA,USA_TX_Austin.722540_TMY2,31107.27
1102,AUSTIN/BERGSTROM,722540,2A,5575.8,23101.57,USA,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3,28677.37
1103,BROWNSVILLE S PADRE ISL INTL,722500,1A,2929.51,28336.27,USA,USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3,31265.78
1104,BROWNSVILLE S PADRE ISL INTL,722500,1A,2640.24,27244.93,USA,USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY,29885.17
1105,BROWNSVILLE S PADRE ISL INTL,722500,1A,2401.64,26063.54,USA,USA_TX_Brownsville.722500_TMY2,28465.18
1106,CAMP MABRY,722544,2A,8328.77,23005.04,USA,USA_TX_Austin-Camp.Mabry.722544_TMY3,31333.81
1107,CHILDRESS MUNICIPAL AP,723604,3B,19633.61,16088.49,USA,USA_TX_Childress.Muni.AP.723604_TMY3,35722.1
1108,COLLEGE STATION EASTERWOOD FL,722445,2A,7441.91,20857.74,USA,USA_TX_College.Station-Easterwood.Field.722445_TMY3,28299.65
1109,CORPUS CHRISTI INTL ARPT,722510,2A,3778.44,26964.88,USA,USA_TX_Corpus.Christi.Intl.AP.722510_TMY,30743.32
1110,CORPUS CHRISTI INTL ARPT,722510,2A,3546.34,25243.38,USA,USA_TX_Corpus.Christi.Intl.AP.722510_TMY3,28789.72
1111,CORPUS CHRISTI INTL ARPT,722510,2A,3314.53,24856.19,USA,USA_TX_Corpus.Christi.722510_TMY2,28170.72
1112,CORPUS CHRISTI NAS,722515,2A,1889.72,28975.9,USA,USA_TX_Corpus.Christi.NAS.722515_TMY3,30865.62
1113,COTULLA FAA AP,722526,2B,4145.66,29443.11,USA,USA_TX_Cotulla.AP.722526_TMY3,33588.77
1114,COX FLD,722587,3A,18655.32,16720.82,USA,USA_TX_Cox.Field.722587_TMY3,35376.14
1115,DALHART MUNICIPAL AP,722636,4B,34998.04,9728.57,USA,USA_TX_Dalhart.Muni.AP.722636_TMY3,44726.61
1116,DALLAS LOVE FIELD,722583,2A,11949.17,25778.88,USA,USA_TX_Dallas-Love.Field.722583_TMY3,37728.05
1117,DALLAS/REDBIRD ARPT,722599,2A,10413.84,22539.57,USA,USA_TX_Dallas-Redbird.AP.722599_TMY3,32953.41
1118,DALLAS-FORT WORTH INTL AP,722590,2A,12613.21,21761.01,USA,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,34374.22
1119,DEL RIO INTERNATIONAL AP,722610,2B,5239.66,23073.72,USA,USA_TX_Del.Rio.722610_TMY3,28313.38
1120,DEL RIO INTERNATIONAL AP,722610,2B,6156.29,22078.54,USA,USA_TX_Del.Rio.722610_TMY,28234.83
1121,DRAUGHON MILLER CEN,722577,2A,13315.79,20958.21,USA,USA_TX_Draughon-Miller.Central.Texas.AP.722577_TMY3,34274
1122,EL PASO INTERNATIONAL AP,722700,3B,11756.83,17333.17,USA,USA_TX_El.Paso.722700_TMY2,29090
1123,EL PASO INTERNATIONAL AP,722700,3B,10188.72,17387.49,USA,USA_TX_El.Paso.Intl.AP.722700_TMY3,27576.21
1124,EL PASO INTERNATIONAL AP,722700,3B,11756.36,17878.56,USA,USA_TX_El.Paso.Intl.AP.722700_TMY,29634.92
1125,FORT HOOD/GRAY AAF,722576,2A,10709.83,21959.49,USA,USA_TX_Killeen-Fort.Hood.Rgnl.AP.722576_TMY3,32669.32
1126,FORT WORTH ALLIANCE,722594,2A,15111.31,19233.05,USA,USA_TX_Fort.Worth-Alliance.AP.722594_TMY3,34344.36
1127,FORT WORTH MEACHAM,722596,2A,14043.11,21307.96,USA,USA_TX_Fort.Worth-Meacham.AP.722596_TMY3,35351.07
1128,FORT WORTH MEACHAM,722596,2A,11442.35,19445.53,USA,USA_TX_Fort.Worth.722596_TMY2,30887.88
1129,FORT WORTH NAS,722595,2A,10404.2,20497.84,USA,USA_TX_Fort.Worth.NAS.722595_TMY3,30902.04
1130,GALVESTON/SCHOLES,722420,2A,3375.32,24143.16,USA,USA_TX_Galveston.722420_TMY3,27518.48
1131,GEORGETOWN (AWOS),722547,2A,11566.78,20873.69,USA,USA_TX_Georgetown.AWOS.722547_TMY3,32440.47
1132,HARLINGEN RIO GRANDE VALLEY I,722505,1A,1786.46,27941.24,USA,USA_TX_Harlingen-Valley.Intl.AP.722505_TMY3,29727.7
1133,HONDO MUNICIPAL AP,722533,2B,7981.36,22206.9,USA,USA_TX_Hondo.Muni.AP.722533_TMY3,30188.26
1134,HOUSTON BUSH INTERCONTINENTAL,722430,2A,6676.09,23113.07,USA,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3,29789.16
1135,HOUSTON BUSH INTERCONTINENTAL,722430,2A,5968.5,20816.74,USA,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY,26785.24
1136,HOUSTON BUSH INTERCONTINENTAL,722430,2A,8297.6,21436.82,USA,USA_TX_Houston-Intercontinental.722430_TMY2,29734.42
1137,HOUSTON WILLIAM P HOBBY AP,722435,2A,3443.68,22809.61,USA,USA_TX_Houston-William.P.Hobby.AP.722435_TMY3,26253.29
1138,HOUSTON/D.W. HOOKS,722429,2A,6318.99,23734.37,USA,USA_TX_Houston-D.W.Hooks.AP.722429_TMY3,30053.36
1139,HOUSTON/ELLINGTON,722436,2A,6650.74,23359.07,USA,USA_TX_Houston-Ellington.AFB.722436_TMY3,30009.81
1140,KELLY AFB,722535,2A,8029.02,25814.55,USA,USA_TX_San.Antonio-Kelly.AFB.722535_TMY3,33843.57
