,Heating,Cooling,Country,File_name,ID
2395,14841.49,18356.76,USA,USA_AZ_Kingman.AWOS.723700_TMY3,723700
2396,52774.66,8218.44,USA,USA_IL_Moline-Quad.City.Intl.AP.725440_TMY,725440
2397,62990.15,5000.8,USA,USA_MT_Great.Falls.Intl.AP.727750_TMY,727750
2398,8189.92,10574.27,ITA,ITA_Catania-Fontanarossa.164600_IGDG,164600
2399,21483.6,12474.26,USA,USA_VA_Melfa-Accomack.County.AP.724026_TMY3,724026
2400,28106.08,9648.48,USA,USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3,723183
2401,9.53,18497.09,BRA,BRA_MG_Chapada.Gaucha.867190_INMET,867190
2402,18685.14,15735.29,USA,USA_NC_Fort.Bragg-Simmons.AAF.746930_TMY3,746930
2403,60153.93,4453.51,USA,USA_ME_Auburn-Lewiston.Muni.AP.726184_TMY3,726184
2404,92129.91,6857.56,CHN,CHN_Nei.Mongol.Kailu.541340_CSWD,541340
2405,77089.63,8494.85,USA,USA_MN_Edin.Prairie-Flying.Cloud.AP.726579_TMY3,726579
2406,715.15,25932.22,CHN,CHN_Hong.Kong.SAR.450070_CityUHK,450070
2407,2640.24,27244.93,USA,USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY,722500
2408,12299.67,1931.96,CZ01RV2.htm,CZ01RV2,725945
2409,19414.9,13044.22,CHN,CHN_Shaanxi.Ankangan.572450_CSWD,572450
2410,6558.07,23080.9,USA,USA_TX_San.Antonio-Stinson.AP.722523_TMY3,722523
2411,37249.81,11286.83,CHN,CHN_Beijing.Beijing.545110_CSWD,545110
2412,15333.33,13312.7,USA,USA_VA_Norfolk.NAS.723085_TMY3,723085
2413,37745.27,8527.29,USA,USA_CO_Denver.Intl.AP.725650_TMY3,725650
2414,31999.81,7108.29,USA,USA_OH_Zanesville.Muni.AP.724286_TMY3,724286
2415,0.84,32059.32,BRA,BRA_TO_Gurupi.866300_INMET,866300
2416,49992.54,2824.29,POL,POL_Lodz.124650_IMGW,124650
2417,0,43083.82,IND,IND_Panjim.431920_ISHRAE,431920
2418,36365.82,11376.72,CHN,CHN_Beijing.Beijing.545110_IWEC,545110
2419,2995.6,25111.17,EGY,EGY_Asyut.623930_ETMY,623930
2420,57837.02,8965.67,USA,USA_IA_Atlantic.Muni.AP.725453_TMY3,725453
2421,37402.29,12888.52,USA,USA_KS_Olathe-Johnson.County.Industrial.AP.724475_TMY3,724475
2422,25.7,43328.4,GTM,GTM_San.Jose.786470_SWERA,786470
2423,4808.87,21158.32,CHN,CHN_Guangxi.Zhuang.Hechi.590230_CSWD,590230
2424,33972.49,2395.88,CAN,CAN_BC_Comox.718930_CWEC,718930
2425,1188.34,18374.12,BRA,BRA_MS_Amambai.868940_INMET,868940
2426,35606.57,8959.99,USA,USA_UT_Provo.Muni.AWOS.725724_TMY3,725724
2427,7737.01,13221.25,GRC,GRC_Athens.167160_IWEC,167160
2428,27776.78,4046.63,ITA,ITA_Potenza.163000_IGDG,163000
2429,80179.72,10923.82,CHN,CHN_Xinjiang.Uygur.Karamay.512430_CSWD,512430
2430,14831.17,1152.38,USA,USA_CA_Crescent.City-Jack.McNamara.Field.725946_TMY3,725946
2431,175.58,45346.01,ARE,ARE_Abu.Dhabi.412170_IWEC,412170
2432,0,39749.04,BRA,BRA_PA_Belem.816800_INMET,816800
2433,36578.72,4792.68,USA,USA_MA_Barnstable-Boardman.Poland.AP.725067_TMY3,725067
2434,2954.62,28676.81,USA,USA_TX_McAllen-Miller.Intl.AP.722506_TMY3,722506
2435,7287.91,14748.08,JPN,JPN_Tosashimizu.478980_IWEC,478980
2436,8517.15,19254.15,USA,USA_FL_Tallahassee.722140_TMY2,722140
2437,22535.06,9278.93,USA,USA_NJ_Cape.May.County.AP.745966_TMY3,745966
2438,58653.38,7891.34,CHN,CHN_Liaoning.Jinzhou.543370_CSWD,543370
2439,35700.96,11303.09,USA,USA_KY_Fort.Knox-Godman.AAF.724240_TMY3,724240
2440,12165.85,19204.37,CHN,CHN_Jiangxi.Jian.577990_CSWD,577990
2441,28833.36,7225.27,ITA,ITA_Vicenza.160940_IGDG,160940
2442,27027.53,8083.36,KOR,KOR_Kangnung.471050_IWEC,471050
2443,22200.82,13093.79,CHN,CHN_Henan.Xinyang.572970_CSWD,572970
2444,125,13639.03,BRA,BRA_MG_Guarda-Mor.867570_INMET,867570
2445,52339.45,2503.64,POL,POL_Sulejow.124690_IMGW,124690
2446,38651.78,4574.18,BGR,BGR_Sofia.156140_IWEC,156140
2447,27430.1,2395.68,ESP,ESP_Vitoria.080800_SWEC,80800
2448,33021.1,8639.28,USA,USA_NV_Tonopah.AP.724855_TMY3,724855
2449,20622.6,19712.67,USA,USA_AR_Pine.Bluff.AP.723417_TMY3,723417
2450,63092.16,5761.88,USA,USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3,726400
2451,116534.06,1023.67,CAN,CAN_PQ_Sept-Iles.718110_CWEC,718110
2452,164.9,15460.78,HND,HND_Santa.Rosa.de.Copan.787170_SWERA,787170
2453,121426.18,69.84,USA,USA_AK_Hooper.Bay.702186_TMY3,702186
2454,62136.74,9390.98,USA,USA_IA_Carroll.Muni.AP.725468_TMY3,725468
2455,11544.47,13864.24,USA,USA_CA_Yuba.County.AP.724838_TMY3,724838
2456,36617.32,7010.51,USA,USA_WV_Morgantown.Muni-Hart.Field.724176_TMY3,724176
2457,137727.21,1481.62,USA,USA_AK_Eielson.AFB.702650_TMY3,702650
2458,30835.01,12775.68,USA,USA_VA_Fredericksburg-Shannon.AP.724033_TMY3,724033
2459,55425.27,7537.39,USA,USA_WI_Watertown.Muni.AP.726464_TMY3,726464
